date,ticker,name,market,close,change_rate,volume,trading_value
2026-08-13,000660,SK하이닉스,KOSPI,1613000.0,7.247340425531915,2191174,3534363662000
2026-08-13,035420,NAVER,KOSPI,226000.0,4.872389791183294,944584,213475984000
2026-08-13,207940,삼성바이오로직스,KOSPI,1551000.0,0.12911555842479017,21501,33348051000
2026-08-13,005380,현대차,KOSPI,420000.0,2.564102564102564,236288,99240960000
2026-08-13,005930,삼성전자,KOSPI,270000.0,5.6751467710371815,20432931,5516891370000
2026-08-13,000660,SK하이닉스,KOSPI,1615000.0,7.380319148936171,3133622,5060799530000
2026-08-13,035420,NAVER,KOSPI,227500.0,5.56844547563805,1324620,301351050000
2026-08-13,207940,삼성바이오로직스,KOSPI,1553000.0,0.25823111684958033,33640,52242920000
2026-08-13,005380,현대차,KOSPI,419750.0,2.503052503052503,334036,140211611000
2026-08-13,005930,삼성전자,KOSPI,268000.0,4.892367906066536,35463855,9504313140000
2026-08-13,000660,SK하이닉스,KOSPI,1593000.0,5.917553191489362,4599305,7326692865000
2026-08-13,035420,NAVER,KOSPI,226500.0,5.104408352668213,1834477,415509040500
2026-08-13,207940,삼성바이오로직스,KOSPI,1564000.0,0.9683666881859263,55792,87258688000
2026-08-13,005380,현대차,KOSPI,418500.0,2.197802197802198,590756,247231386000
2026-08-14,005930,삼성전자,KOSPI,270500.0,0.9328358208955223,10321703,2792020661500
2026-08-14,000660,SK하이닉스,KOSPI,1654000.0,3.8292529817953542,2389756,3952656424000
2026-08-14,035420,NAVER,KOSPI,227000.0,0.22075055187637968,467248,106065296000
2026-08-14,207940,삼성바이오로직스,KOSPI,1550000.0,-0.8951406649616368,11963,18542650000
2026-08-14,005380,현대차,KOSPI,444000.0,6.093189964157706,701204,311334576000
2026-08-14,005930,삼성전자,KOSPI,269500.0,0.5597014925373134,15947587,4297874696500
2026-08-14,000660,SK하이닉스,KOSPI,1638000.0,2.824858757062147,3321232,5440178016000
2026-08-14,035420,NAVER,KOSPI,226500.0,0.0,585436,132601254000
2026-08-14,207940,삼성바이오로직스,KOSPI,1550000.0,-0.8951406649616368,19489,30207950000
2026-08-14,005380,현대차,KOSPI,450000.0,7.526881720430108,993043,446869350000
2026-08-14,005930,삼성전자,KOSPI,274500.0,2.425373134328358,21668266,5947939017000
2026-08-14,000660,SK하이닉스,KOSPI,1645000.0,3.264281230382925,4295990,7066903550000
2026-08-14,035420,NAVER,KOSPI,228000.0,0.6622516556291391,750112,171025536000
2026-08-14,207940,삼성바이오로직스,KOSPI,1548000.0,-1.0230179028132993,29916,46309968000
2026-08-14,005380,현대차,KOSPI,453000.0,8.24372759856631,1203960,545393880000
2026-08-14,005930,삼성전자,KOSPI,274500.0,2.425373134328358,21668266,5947939017000
2026-08-14,000660,SK하이닉스,KOSPI,1645000.0,3.264281230382925,4295990,7066903550000
2026-08-14,035420,NAVER,KOSPI,228000.0,0.6622516556291391,750112,171025536000
2026-08-14,207940,삼성바이오로직스,KOSPI,1548000.0,-1.0230179028132993,29916,46309968000
2026-08-14,005380,현대차,KOSPI,453000.0,8.24372759856631,1203960,545393880000
2026-08-14,005930,삼성전자,KOSPI,274500.0,2.425373134328358,21668266,5947939017000
2026-08-14,000660,SK하이닉스,KOSPI,1645000.0,3.264281230382925,4295990,7066903550000
2026-08-14,035420,NAVER,KOSPI,228000.0,0.6622516556291391,750112,171025536000
2026-08-14,207940,삼성바이오로직스,KOSPI,1548000.0,-1.0230179028132993,29916,46309968000
2026-08-14,005380,현대차,KOSPI,453000.0,8.24372759856631,1203960,545393880000
2026-08-14,005930,삼성전자,KOSPI,274500.0,2.425373134328358,21668266,5947939017000
2026-08-14,000660,SK하이닉스,KOSPI,1645000.0,3.264281230382925,4295990,7066903550000
2026-08-14,035420,NAVER,KOSPI,228000.0,0.6622516556291391,750112,171025536000
2026-08-14,207940,삼성바이오로직스,KOSPI,1548000.0,-1.0230179028132993,29916,46309968000
2026-08-14,005380,현대차,KOSPI,453000.0,8.24372759856631,1203960,545393880000
2026-08-18,005930,삼성전자,KOSPI,278000.0,1.2750455373406193,9229864,2565902192000
2026-08-18,000660,SK하이닉스,KOSPI,1727000.0,4.984802431610942,2189170,3780696590000
2026-08-18,035420,NAVER,KOSPI,221250.0,-2.9605263157894735,314879,69666978750
2026-08-18,207940,삼성바이오로직스,KOSPI,1538500.0,-0.6136950904392765,14447,22226709500
2026-08-18,005380,현대차,KOSPI,446500.0,-1.434878587196468,348027,155394055500
2026-08-18,005930,삼성전자,KOSPI,270750.0,-1.366120218579235,16028424,4339695798000
2026-08-18,000660,SK하이닉스,KOSPI,1671000.0,1.5805471124620063,3755912,6276128952000
2026-08-18,035420,NAVER,KOSPI,218000.0,-4.385964912280701,537632,117203776000
2026-08-18,207940,삼성바이오로직스,KOSPI,1534000.0,-0.9043927648578811,23944,36730096000
2026-08-18,005380,현대차,KOSPI,438500.0,-3.2008830022075054,561096,246040596000
2026-08-18,005930,삼성전자,KOSPI,268500.0,-2.185792349726776,24003581,6444961498500
2026-08-18,000660,SK하이닉스,KOSPI,1662000.0,1.033434650455927,5121374,8511723588000
2026-08-18,035420,NAVER,KOSPI,217000.0,-4.824561403508771,824610,178940370000
2026-08-18,207940,삼성바이오로직스,KOSPI,1531000.0,-1.0981912144702841,37718,57746258000
2026-08-18,005380,현대차,KOSPI,435000.0,-3.9735099337748347,864881,376223235000
2026-08-19,005930,삼성전자,KOSPI,251750.0,-6.238361266294227,10310264,2595608962000
2026-08-19,000660,SK하이닉스,KOSPI,1544000.0,-7.099879663056559,1938229,2992625576000
2026-08-19,035420,NAVER,KOSPI,206500.0,-4.838709677419355,364653,75300844500
2026-08-19,207940,삼성바이오로직스,KOSPI,1517000.0,-0.9144350097975179,8500,12894500000
2026-08-19,005380,현대차,KOSPI,416000.0,-4.3678160919540225,218408,90857728000
